# Reynolds number time series
# <Re(t)> averaged between 200.000000 and 250.000000 with sampling frequency 0.500000
# time		 Re_uMag(t)	 <Re_uMag(t)>	 Re_uxMag(t)	 <Re_uxMag(t)>	 Re_uzMag(t)	 <Re_uzMag(t)>	  Re_uRMS(t)	 <Re_uRMS(t)>	 Re_uxRMS(t)	 <Re_uxRMS(t)>	 Re_uzRMS(t)	 <Re_uzRMS(t)>	 
242.000000	 58559.752538	 50593.625033	 42730.118107	 40205.290359	 41889.033909	 38567.936437	 70236.180170	 56409.232409	 51399.077532	 47338.213420	 52047.312373	 46264.666696	 
242.500000	 54459.763532	 50638.411975	 43147.002463	 40193.091475	 43774.111505	 38522.713527	 64516.291350	 56495.544696	 51914.558134	 47363.548327	 55592.752370	 46220.945764	 
243.000000	 51312.810391	 50633.753646	 42648.695173	 40181.219350	 39450.400163	 38502.491675	 63084.141041	 56498.137323	 52008.247850	 47384.519723	 52303.471321	 46249.193376	 
243.500000	 50873.569004	 50618.782800	 41386.676585	 40176.271544	 39312.241898	 38511.640301	 58467.830763	 56473.987317	 50611.648262	 47408.329471	 51440.284756	 46280.525153	 
244.000000	 50809.613844	 50604.566220	 41122.140586	 40182.781830	 39837.031381	 38507.463139	 58432.957796	 56447.920383	 50920.134684	 47446.522735	 50297.634051	 46236.603661	 
244.500000	 51180.897862	 50579.428104	 40982.079924	 40169.963099	 40282.458438	 38493.131726	 59327.376505	 56407.970491	 49644.391987	 47462.504251	 49517.424577	 46160.726232	 
245.000000	 52529.953161	 50547.578149	 40338.794982	 40117.393922	 42417.150829	 38461.145524	 60636.102883	 56368.648671	 48777.002018	 47445.312650	 52086.516375	 46058.330328	 
245.500000	 56508.320130	 50510.982891	 37886.525311	 40051.135581	 44546.272400	 38411.246909	 63011.974996	 56342.243704	 46289.043438	 47418.203068	 53469.749384	 45938.206622	 
246.000000	 57355.703700	 50449.096438	 37540.684076	 39981.951332	 44116.252786	 38347.033796	 63164.359681	 56304.481920	 46956.264643	 47383.469018	 51938.056285	 45811.390148	 
246.500000	 58517.024255	 50383.111310	 36632.435767	 39912.330173	 46045.934110	 38279.031313	 64947.643842	 56260.068692	 45988.953129	 47336.833160	 51112.746013	 45684.174676	 
247.000000	 59810.244698	 50306.744029	 39204.846966	 39846.986441	 47911.479816	 38201.147198	 66587.503679	 56202.000767	 50880.792932	 47293.564129	 52312.137614	 45573.223247	 
247.500000	 60958.896898	 50211.109779	 43641.757857	 39756.090754	 49288.657792	 38114.670866	 66912.735482	 56122.238085	 54941.987111	 47200.124395	 53438.024620	 45481.902353	 
248.000000	 61703.173017	 50096.371154	 44580.542859	 39639.337953	 49851.480585	 38020.470096	 66718.382444	 56022.654165	 56016.867882	 47072.712396	 53190.148876	 45385.197053	 
248.500000	 60324.202173	 49967.569721	 44445.184550	 39513.829189	 49692.256251	 37931.671666	 65632.129211	 55911.721116	 55614.244967	 46939.184768	 52641.170647	 45317.559600	 
249.000000	 60847.159061	 49801.977587	 45505.690462	 39384.693815	 49246.194362	 37871.422336	 66012.825717	 55743.227957	 56613.536232	 46795.634791	 53591.821170	 45267.506648	 
249.500000	 61367.999264	 49778.704552	 45363.244285	 39259.168024	 48821.834603	 37840.008514	 65316.571367	 55537.729631	 54453.206571	 46654.019716	 52814.228144	 45193.953347	 
250.000000	 63686.941180	 49901.364312	 49350.154808	 39133.658252	 48784.060878	 37815.150571	 68476.043536	 55423.819363	 56337.714577	 46512.008500	 53178.383733	 45123.691462	 
